Date,Ligne,Heure_Départ,Heure_Arrivée,Passagers,Capacité,Carburant_L,Distance_km,Panne,Retard,Plaintes,Remplissage (%),Consommation_par_km,Emissions_CO2_kg,Météo,Type_Voiture,Vacances,Week-end,Heure_Pointe,Dépenses_Maintenance,Satisfaction_Client
2024-01-01,Ankorondrano – Itaosy,07:45,08:31,30,35,11.1,18,Oui,Non,5,85.7,0.62,29.7,Pluie,5 places,Non,Oui,Non,49870.6,2
2024-01-02,Ankorondrano – Itaosy,09:15,10:37,23,30,9.4,10,Non,Non,0,76.7,0.94,25.2,Orage,9 places,Oui,Non,Oui,18124.82,2
2024-01-03,Ankorondrano – Itaosy,11:30,12:47,11,25,11.6,10,Non,Oui,2,44.0,1.16,31.1,Pluie,9 places,Non,Non,Oui,48807.0,1
2024-01-04,Mahamasina – 67Ha,15:30,16:17,19,30,12.4,10,Non,Non,1,63.3,1.24,33.2,Soleil,5 places,Non,Non,Oui,43850.01,3
2024-01-05,Andavamamba – Ivato,11:30,12:47,9,25,11.6,19,Non,Non,0,36.0,0.61,31.1,Soleil,5 places,Non,Non,Non,49278.99,3
2024-01-06,Andavamamba – Ivato,08:15,09:02,32,35,10.5,12,Non,Non,0,91.4,0.88,28.1,Vent fort,5 places,Non,Non,Non,5439.69,5
2024-01-07,Andavamamba – Ivato,14:00,15:01,7,40,15.8,20,Non,Non,1,17.5,0.79,42.3,Brouillard,7 places,Non,Non,Oui,35850.44,4
2024-01-08,Analakely – Ankatso,20:15,21:34,24,25,11.5,15,Non,Non,1,96.0,0.77,30.8,Soleil,12 places,Oui,Non,Oui,22662.21,5
2024-01-09,Andavamamba – Ivato,08:00,09:11,25,30,8.9,18,Non,Non,0,83.3,0.49,23.9,Soleil,5 places,Oui,Non,Oui,42793.76,2
2024-01-10,Andavamamba – Ivato,08:30,09:43,27,30,16.9,17,Oui,Non,0,90.0,0.99,45.3,Soleil,5 places,Oui,Oui,Non,14705.38,3
2024-01-11,Andavamamba – Ivato,16:15,16:59,20,35,11.5,16,Non,Oui,2,57.1,0.72,30.8,Brouillard,12 places,Non,Non,Non,46941.26,1
2024-01-12,Mahamasina – 67Ha,09:30,10:05,27,40,17.9,16,Non,Oui,2,67.5,1.12,48.0,Brouillard,5 places,Non,Non,Oui,22590.77,4
2024-01-13,Mahamasina – 67Ha,15:00,15:39,11,40,9.4,15,Non,Non,0,27.5,0.63,25.2,Pluie,5 places,Non,Non,Oui,29357.0,3
2024-01-14,Ambohijatovo – Anosizato,07:15,08:08,12,40,12.0,18,Oui,Non,2,30.0,0.67,32.2,Brouillard,7 places,Non,Oui,Oui,47788.86,4
2024-01-15,Mahamasina – 67Ha,10:00,10:43,21,30,13.4,12,Oui,Oui,0,70.0,1.12,35.9,Pluie,9 places,Non,Oui,Oui,41808.52,2
2024-01-16,Andavamamba – Ivato,05:30,06:50,7,25,13.6,14,Non,Non,0,28.0,0.97,36.4,Orage,12 places,Non,Non,Non,48646.04,1
2024-01-17,Ambohijatovo – Anosizato,18:30,19:57,34,40,11.0,17,Non,Non,1,85.0,0.65,29.5,Soleil,7 places,Non,Non,Non,39302.83,3
2024-01-18,Andavamamba – Ivato,13:30,14:09,5,40,9.5,12,Non,Non,1,12.5,0.79,25.5,Orage,5 places,Oui,Oui,Non,47831.53,3
2024-01-19,Analakely – Ankatso,13:45,14:28,13,25,16.9,13,Non,Non,0,52.0,1.3,45.3,Orage,9 places,Non,Non,Non,7889.4,4
2024-01-20,Andavamamba – Ivato,11:45,12:41,9,30,11.0,13,Non,Oui,2,30.0,0.85,29.5,Orage,7 places,Non,Non,Oui,28688.12,1
2024-01-21,Ankorondrano – Itaosy,18:30,19:24,17,30,15.9,13,Oui,Non,0,56.7,1.22,42.6,Pluie,9 places,Non,Non,Oui,14753.29,3
2024-01-22,Andavamamba – Ivato,13:45,14:33,39,40,10.1,10,Non,Non,1,97.5,1.01,27.1,Orage,12 places,Oui,Non,Oui,9721.86,5
2024-01-23,Ankorondrano – Itaosy,18:15,19:26,8,35,16.3,20,Non,Non,0,22.9,0.82,43.7,Brouillard,7 places,Non,Non,Non,36168.17,5
2024-01-24,Ankorondrano – Itaosy,09:45,10:30,24,25,12.1,15,Non,Non,0,96.0,0.81,32.4,Brouillard,9 places,Non,Non,Non,12179.51,2
